age,iso_res_C,iso_res_S,res_C,res_S,time,temperature,tempC,SAT_tropical,SAT_equator,P,O,A,S,G,C,PYR,GYP,N,OSr,SSr,d13c_A,delta_mccb,d34s_S,delta_G,delta_C,delta_PYR,delta_GYP,delta_OSr,DEGASS,W,EVO,CPLAND,Bforcing,BAS_AREA,GRAN_AREA,CO2(PPM),RCO2,O2,RO2,mrO2,VEG,ANOX,iceline,mocb,locb,mccb,mpsb,mgsb,silw,carbw,oxidw,basw,granw,phosw,psea,nfix,denit,pyrw,gypw,ocdeg,ccdeg,pyrdeg,gypdeg,sfw,Sr_granw,Sr_basw,Sr_sedw,Sr_mantle,dSSr,relativenewp,erosion_tot,time_myr
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99933E+12,0,9.59017E+12,4.19907E+11,68843513610,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599904,21230599904,8.68375E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230891,791270659,8929713311,14860422974,0.71,1,11827029882,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99883E+12,0,9.59017E+12,4.19837E+11,68843513645,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599983,21230599983,8.69407E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230914,791270662.1,8929713339,14860422974,0.71,1,11827029907,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99833E+12,0,9.59017E+12,4.19767E+11,68843513680,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230600063,21230600063,8.70439E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230938,791270665.2,8929713366,14860422974,0.71,1,11827029932,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99783E+12,0,9.59017E+12,4.19697E+11,68843513716,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230600142,21230600142,8.71472E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230961,791270668.2,8929713393,14860422974,0.71,1,11827029957,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.34E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99284E+12,0,9.59017E+12,4.18997E+11,68843514066,5.38795E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230600938,21230600938,8.81831E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042231196,791270698.8,8929713664,14860422974,0.71,1,11827030208,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.9,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.34E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.98785E+12,0,9.59017E+12,4.18299E+11,68843514418,5.38795E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230601735,21230601735,8.92241E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042231430,791270729.4,8929713935,14860422974,0.71,1,11827030459,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.9,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.34E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.98287E+12,0,9.59017E+12,4.17602E+11,68843514770,5.38795E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230602531,21230602531,9.02702E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042231665,791270760,8929714207,14860422974,0.71,1,11827030711,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.9,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.33E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.97791E+12,0,9.59017E+12,4.16907E+11,68843515122,5.38795E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230603329,21230603329,9.13215E+12,1.7E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042231900,791270790.6,8929714478,14860422974,0.71,1,11827030962,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.7,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.3E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.9347E+12,0,9.59018E+12,4.10858E+11,68843518237,5.38796E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230610340,21230610340,1.0076E+13,1.69E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042233966,791271060,8929716867,14860422976,0.71,0.99,11827033173,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.5,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.27E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.89216E+12,0,9.59018E+12,4.04902E+11,68843521389,5.38796E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230617384,21230617384,1.10578E+13,1.68E+15,4.41233E+11,5.25278E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042236042,791271330.7,8929719266,14860422978,0.71,0.98,11827035395,-600
